time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
61645000,1210,156,3,0,12,11,09,00e07,-792,-1120,792,1120,04,04,09,4,262144
61655000,1210,157,3,1,12,11,04,001c0,-1120,464,1120,464,04,04,04,5,262144
61665000,1210,158,3,2,12,11,04,001c0,472,-480,472,480,38,04,04,6,262144
61675000,1211,159,3,3,12,11,04,001c0,472,-480,472,480,37,38,04,6,262144
61685000,1211,160,3,4,12,11,38,3fe00,-472,-1112,472,1112,37,37,38,7,262144
61695000,1211,161,3,5,12,11,37,3f1ff,-800,1096,800,1096,06,37,37,8,262144
61715000,1211,162,3,6,12,11,06,001f8,151,-159,151,159,36,0c,06,10,264192
61725000,1212,163,3,7,12,11,0c,00fc0,-486,780,486,780,13,36,0c,11,264192
61735000,1212,164,3,8,12,11,36,3f1f8,147,-1108,147,1108,2e,13,36,12,264200
61745000,1212,165,3,9,12,11,13,0703f,-1119,148,1119,148,03,2e,13,13,262144
61755000,1212,166,3,10,12,11,2e,38ff8,464,-168,464,168,18,03,2e,14,262144
61765000,1212,167,3,11,12,11,03,0003f,144,152,144,152,17,18,03,15,262144
61775000,1213,168,3,12,12,11,18,07e00,-163,-1115,163,1115,1b,17,18,16,264200
61785000,1213,169,3,13,12,11,17,071ff,-788,-175,788,175,02,1b,17,17,264192
61795000,1213,170,3,14,12,11,1b,07e3f,160,-800,160,800,14,02,1b,18,262144
61805000,1213,171,3,15,12,11,02,00038,1096,472,1096,472,23,14,02,19,262144
61815000,1213,172,3,16,12,11,14,071c0,1096,472,1096,472,39,23,14,19,262144
61825000,1214,173,3,17,12,11,23,3803f,464,152,464,152,39,39,23,20,262144
61835000,1214,174,3,18,12,11,39,3fe07,-472,-800,472,800,1f,39,39,21,262144
61855000,1214,175,3,19,12,12,1f,07fff,472,-472,472,472,07,26,1f,23,262144
61865000,1214,176,3,20,12,12,26,381f8,776,1104,776,1104,37,07,26,24,262144
61875000,1215,177,3,21,12,12,07,001ff,151,-788,151,788,0d,37,07,25,264192
61885000,1215,178,3,22,12,12,37,3f1ff,769,785,769,785,23,0d,37,26,266256
61895000,1215,179,3,23,12,12,0d,00fc7,769,785,769,785,2d,23,0d,26,262144
61905000,1215,180,3,24,12,12,23,3803f,769,785,769,785,2d,2d,23,26,262144
61915000,1215,181,3,25,12,12,2d,38fc7,769,785,769,785,2d,2d,2d,26,262144
61995000,1217,182,3,26,12,12,35,3f1c7,776,792,776,792,3e,2d,35,30,262144
62005000,1217,183,3,27,12,12,2d,38fc7,472,-160,472,160,2d,3e,2d,31,262144
62015000,1217,184,3,28,12,12,3e,3fff8,-473,-489,473,489,17,2d,3e,32,260096
62025000,1218,185,3,29,12,12,2d,38fc7,145,790,145,790,36,17,2d,33,258064
62035000,1218,186,3,30,12,12,17,071ff,145,790,145,790,2b,36,17,33,258064
62045000,1218,187,3,31,12,12,36,3f1f8,145,798,145,798,2b,2b,36,34,258064
62055000,1218,188,3,32,12,12,2b,38e3f,-160,-488,160,488,2b,2b,2b,35,262144
62075000,1219,189,3,33,12,12,2b,38e3f,-1120,776,1120,776,33,32,2b,37,262144
62085000,1219,190,3,34,12,12,32,3f038,-795,-809,795,809,28,33,32,38,258064
62095000,1219,191,3,35,12,12,33,3f03f,1097,791,1097,791,24,28,33,39,260104
62105000,1219,192,3,36,12,12,28,38e00,-804,138,804,138,29,24,28,40,260112
62115000,1219,193,3,37,12,12,24,381c0,153,-479,153,479,1c,29,24,41,262144
