time_ns,iq_count,state,deinter_count,deinter_stb,deinter_erase,deinter_bits,conv_stb,conv_bit,descr_stb,descr_bit,bit_stb,bit,byte_stb,byte_count,byte
52905000,1035,12,138,1,2,07,1,0,1,0,1,0,0,4,2e
52915000,1035,12,139,1,1,07,1,1,1,0,1,0,0,4,2e
52925000,1036,12,140,1,0,38,1,0,1,0,1,0,0,4,2e
52935000,1036,12,141,1,2,00,1,0,1,0,1,0,0,4,2e
52945000,1036,12,142,1,1,00,1,1,1,0,1,0,0,4,2e
52955000,1036,12,143,1,2,07,1,0,1,0,1,0,0,4,2e
52965000,1036,12,144,1,1,07,1,1,1,0,1,0,1,4,00
52975000,1037,12,145,1,0,07,1,0,1,0,1,0,0,5,00
52985000,1037,12,146,1,2,38,1,0,1,0,1,0,0,5,00
52995000,1037,12,147,1,1,38,1,1,1,0,1,0,0,5,00
53005000,1037,12,148,1,2,3f,1,0,1,1,1,0,0,5,00
53015000,1037,12,149,1,1,3f,1,1,1,1,1,1,0,5,00
53025000,1038,12,150,1,0,07,1,0,1,0,1,1,0,5,00
53035000,1038,12,151,1,2,38,1,1,1,0,1,0,0,5,00
53045000,1038,12,152,1,1,38,1,1,1,0,1,0,1,5,60
53055000,1038,12,153,1,2,07,1,0,1,0,1,0,0,6,60
53065000,1038,12,154,1,1,07,1,0,1,1,1,0,0,6,60
53075000,1039,12,155,1,0,07,1,0,1,0,1,1,0,6,60
53085000,1039,12,156,1,2,3f,1,0,1,0,1,0,0,6,60
53095000,1039,12,157,1,1,3f,1,1,1,0,1,0,0,6,60
53105000,1039,12,158,1,2,3f,1,0,1,0,1,0,0,6,60
53115000,1039,12,159,1,1,3f,1,1,1,1,1,0,0,6,60
53125000,1040,12,160,1,0,38,1,0,1,0,1,1,1,6,08
53135000,1040,12,161,1,2,3f,1,0,1,1,1,0,0,7,08
53145000,1040,12,162,1,1,3f,1,1,1,1,1,1,0,7,08
53155000,1040,12,163,1,2,38,1,1,1,0,1,1,0,7,08
53165000,1040,12,164,1,1,38,1,1,1,0,1,0,0,7,08
53175000,1041,12,165,1,0,07,1,1,1,1,1,0,0,7,08
53185000,1041,12,166,1,2,38,1,1,1,1,1,1,0,7,08
53195000,1041,12,167,1,1,38,1,1,1,1,1,1,0,7,08
53205000,1041,12,168,1,2,00,1,0,1,1,1,1,1,7,cd
53215000,1041,12,169,1,1,00,1,1,1,1,1,1,0,8,cd
53225000,1042,12,170,1,0,00,1,0,1,0,1,1,0,8,cd
53235000,1042,12,171,1,2,07,1,1,1,1,1,0,0,8,cd
53245000,1042,12,172,1,1,07,1,1,1,1,1,1,0,8,cd
53255000,1042,12,173,1,2,00,1,1,1,0,1,1,0,8,cd
53265000,1042,12,174,1,1,00,1,1,1,0,1,0,0,8,cd
53275000,1043,12,175,1,0,38,1,0,1,0,1,0,0,8,cd
53285000,1043,12,176,1,2,07,1,1,1,1,1,0,1,8,37
53295000,1043,12,177,1,1,07,1,0,1,1,1,1,0,9,37
53305000,1043,12,178,1,2,3f,1,1,1,0,1,1,0,9,37
53315000,1043,12,179,1,1,3f,1,1,1,0,1,0,0,9,37
53325000,1044,12,180,1,0,38,1,1,1,1,1,0,0,9,37
53335000,1044,12,181,1,2,07,1,0,1,0,1,1,0,9,37
53345000,1044,12,182,1,1,07,1,0,1,1,1,0,0,9,37
53355000,1044,12,183,1,2,07,1,0,1,0,1,1,0,9,37
53365000,1044,12,184,1,1,07,1,1,1,0,1,0,1,9,a6
53375000,1045,12,185,1,0,38,1,0,1,0,1,0,0,10,a6
53385000,1045,12,186,1,2,00,1,0,1,0,1,0,0,10,a6
53395000,1045,12,187,1,1,00,1,1,1,0,1,0,0,10,a6
53405000,1045,12,188,1,2,38,1,0,1,0,1,0,0,10,a6
53415000,1045,12,189,1,1,38,1,0,1,0,1,0,0,10,a6
53425000,1046,12,190,1,0,3f,1,0,1,0,1,0,0,10,a6
53435000,1046,12,191,1,2,00,1,0,1,0,1,0,0,10,a6
53445000,1046,12,192,1,1,00,1,0,1,0,1,0,1,10,00
53455000,1046,12,193,1,2,00,1,0,1,0,1,0,0,11,00
53465000,1046,12,194,1,1,00,1,1,1,0,1,0,0,11,00
53475000,1047,12,195,1,0,3f,1,1,1,0,1,0,0,11,00
53485000,1047,12,196,1,2,00,1,0,1,1,1,0,0,11,00
53495000,1047,12,197,1,1,00,1,0,1,0,1,1,0,11,00
53505000,1047,12,198,1,2,3f,1,1,1,0,1,0,0,11,00
53515000,1047,12,199,1,1,3f,1,1,1,0,1,0,0,11,00
53525000,1048,12,200,1,0,07,1,1,1,1,1,0,1,11,20
53535000,1048,12,201,1,2,07,1,1,1,1,1,1,0,12,20
53545000,1048,12,202,1,1,07,1,0,1,0,1,1,0,12,20
53555000,1048,12,203,1,2,38,1,0,1,1,1,0,0,12,20
53565000,1048,12,204,1,1,38,1,1,1,0,1,1,0,12,20
53575000,1049,12,205,1,0,00,1,1,1,1,1,0,0,12,20
53585000,1049,12,206,1,2,00,1,0,1,1,1,1,0,12,20
53595000,1049,12,207,1,1,00,1,0,1,1,1,1,0,12,20
53605000,1049,12,208,1,2,38,1,1,1,0,1,1,1,12,d6
53615000,1049,12,209,1,1,38,1,1,1,0,1,0,0,13,d6
53625000,1050,12,210,1,0,00,1,1,1,0,1,0,0,13,d6
53635000,1050,12,211,1,2,38,1,0,1,0,1,0,0,13,d6
53645000,1050,12,212,1,1,38,1,1,1,0,1,0,0,13,d6
53655000,1050,12,213,1,2,38,1,0,1,0,1,0,0,13,d6
53665000,1050,12,214,1,1,38,1,1,1,0,1,0,0,13,d6
53675000,1051,12,215,1,0,07,1,1,1,0,1,0,0,13,d6
53685000,1051,12,216,1,2,00,1,1,1,0,1,0,1,13,01
53695000,1051,12,217,1,1,00,1,0,1,1,1,0,0,14,01
53705000,1051,12,218,1,2,3f,1,0,1,1,1,1,0,14,01
53715000,1051,12,219,1,1,3f,1,1,1,1,1,1,0,14,01
53725000,1052,12,220,1,0,07,1,0,1,1,1,1,0,14,01
53735000,1052,12,221,1,2,00,1,0,1,0,1,1,0,14,01
53745000,1052,12,222,1,1,00,1,1,1,0,1,0,0,14,01
53755000,1052,12,223,1,2,00,1,0,1,1,1,0,0,14,01
53765000,1052,12,224,1,1,00,1,1,1,0,1,1,1,14,3c
53775000,1053,12,225,1,0,07,1,1,1,0,1,0,0,15,3c
53785000,1053,12,226,1,2,3f,1,1,1,0,1,0,0,15,3c
53795000,1053,12,227,1,1,3f,1,1,1,1,1,0,0,15,3c
53805000,1053,12,228,1,2,07,1,0,1,1,1,1,0,15,3c
53815000,1053,12,229,1,1,07,1,0,1,1,1,1,0,15,3c
53825000,1054,12,230,1,0,00,1,0,1,1,1,1,0,15,3c
53835000,1054,12,231,1,2,00,1,1,1,0,1,1,0,15,3c
53845000,1054,12,232,1,1,00,1,0,1,0,1,0,1,15,f1
53855000,1054,12,233,1,2,38,1,1,1,0,1,0,0,16,f1
53865000,1054,12,234,1,1,38,1,0,1,0,1,0,0,16,f1
53875000,1055,12,235,1,0,00,1,0,1,0,1,0,0,16,f1
