time_ns,iq_count,state,old_state,num_ofdm_symbol,ht_ready,ofdm_in_stb,eq_out_stb_delayed,ofdm_symbol_eq_out_pulse,rate,len,num_bits_to_decode,n_ofdm_sym,n_bit_in_last_sym,deinter_decode_limit,deinter_count,demod_stb,deinter_stb,conv_in_stb,conv_in_stb_dly,vit_valid,conv_stb,descr_stb,bit_stb,byte_stb,byte_count,byte,fcs_stb,fcs_ok
31965000,616,3,3,4,1,0,0,0,0b,0,24,1,130,24,21,0,1,1,1,0,0,0,0,0,0,00,0,0
31975000,617,3,3,4,1,0,0,0,0b,0,24,1,130,24,22,0,1,1,1,0,0,0,0,0,0,00,0,0
31985000,617,3,3,4,1,0,0,0,0b,0,24,1,130,24,23,0,1,1,1,0,0,0,0,0,0,00,0,0
32615000,629,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,0,0,0,00,0,0
32625000,630,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32635000,630,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32645000,630,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32655000,630,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32665000,630,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32675000,631,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32685000,631,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,0,1,0,0,00,0,0
32695000,631,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,0,00,0,0
32705000,631,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,1,0,2b,0,0
32715000,631,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32725000,632,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32735000,632,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32745000,632,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32755000,632,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32765000,632,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32775000,633,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,1,2b,0,0
32785000,633,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,1,1,07,0,0
32795000,633,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32805000,633,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32815000,633,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32825000,634,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
32835000,634,3,3,4,1,0,0,0,0b,0,24,1,130,24,24,0,0,1,1,1,1,1,1,0,2,07,0,0
