time_ns,iq_count,data_demod_idx,data_symbol,carrier_idx,state,num_ofdm_symbol,demod_out,demod_soft_bits,cons_i_delayed,cons_q_delayed,abs_cons_i,abs_cons_q,bits_raw,bits_delay1,bits_delay2,csi_addr,csi_llr
58295000,1143,127,2,23,12,11,00,1b0d8,706,-730,706,730,01,01,00,26,262144
58305000,1143,128,2,24,12,11,01,1b0df,706,-730,706,730,01,01,01,26,262144
58315000,1143,129,2,25,12,11,01,1b0df,706,-730,706,730,01,01,01,26,262144
58395000,1145,130,2,26,12,11,00,1b0d8,720,712,720,712,03,01,00,30,262144
58405000,1145,131,2,27,12,11,01,1b0df,-736,-720,736,720,03,03,01,31,262144
58415000,1145,132,2,28,12,11,03,1bedf,-738,-722,738,722,00,03,03,32,260096
58425000,1146,133,2,29,12,11,03,1bedf,-741,-733,741,733,00,00,03,33,258064
58435000,1146,134,2,30,12,11,00,1b0d8,-741,-733,741,733,00,00,00,33,258064
58445000,1146,135,2,31,12,11,00,1b0d8,-733,733,733,733,00,00,00,34,258064
58455000,1146,136,2,32,12,11,00,1b0d8,-736,-728,736,728,02,00,00,35,262144
58475000,1147,137,2,33,12,11,02,1bed8,720,712,720,712,00,00,02,37,262144
58485000,1147,138,2,34,12,11,00,1b0d8,720,-739,720,739,03,00,00,38,258064
58495000,1147,139,2,35,12,11,00,1b0d8,-736,-733,736,733,01,03,00,39,260104
58505000,1147,140,2,36,12,11,03,1bedf,717,712,717,712,00,01,03,40,260112
58515000,1147,141,2,37,12,11,01,1b0df,717,714,717,714,03,00,01,41,262144
58525000,1148,142,2,38,12,11,00,1b0d8,-728,-728,728,728,03,03,00,42,262144
58535000,1148,143,2,39,12,11,03,1bedf,720,-736,720,736,00,03,03,43,262144
58545000,1148,144,2,40,12,11,03,1bedf,712,-736,712,736,01,00,03,44,262144
58555000,1148,145,2,41,12,11,00,1b0d8,712,-736,712,736,01,01,00,45,262144
58565000,1148,146,2,42,12,11,01,1b0df,728,712,728,712,01,01,01,46,262144
58575000,1149,147,2,43,12,11,01,1b0df,728,712,728,712,03,01,01,46,262144
58585000,1149,148,2,44,12,11,01,1b0df,-736,-728,736,728,03,03,01,47,262144
58595000,1149,149,2,45,12,11,03,1bedf,722,714,722,714,00,03,03,48,260096
58615000,1149,150,2,46,12,11,00,1b0d8,-733,725,733,725,03,03,00,50,258064
58625000,1150,151,2,47,12,11,03,1bedf,717,-741,717,741,02,03,03,51,258064
58635000,1150,152,2,48,12,11,03,1bedf,714,720,714,720,01,02,03,0,258064
58645000,1150,153,2,49,12,11,02,1bed8,714,720,714,720,03,01,02,0,258064
58655000,1150,154,2,50,12,11,01,1b0df,714,720,714,720,03,03,01,0,258064
58665000,1150,155,2,51,12,11,03,1bedf,714,720,714,720,03,03,03,0,258064
61645000,1210,156,3,0,12,11,00,1b0d8,-736,712,736,712,01,03,00,4,262144
61655000,1210,157,3,1,12,11,03,1bedf,720,-728,720,728,02,01,03,5,262144
61665000,1210,158,3,2,12,11,01,1b0df,-728,-736,728,736,01,02,01,6,262144
61675000,1211,159,3,3,12,11,02,1bed8,-728,-736,728,736,00,01,02,6,262144
61685000,1211,160,3,4,12,11,01,1b0df,-736,720,736,720,00,00,01,7,262144
61695000,1211,161,3,5,12,11,00,1b0d8,-736,712,736,712,02,00,00,8,262144
61715000,1211,162,3,6,12,11,02,1bed8,717,-725,717,725,00,02,02,10,264192
61725000,1212,163,3,7,12,11,02,1bed8,709,725,709,725,01,00,02,11,264192
61735000,1212,164,3,8,12,11,00,1b0d8,706,-727,706,727,03,01,00,12,264200
61745000,1212,165,3,9,12,11,01,1b0df,717,-730,717,730,01,03,01,13,262144
61755000,1212,166,3,10,12,11,03,1bedf,720,-728,720,728,01,01,03,14,262144
61765000,1212,167,3,11,12,11,01,1b0df,712,720,712,720,01,01,01,15,262144
61775000,1213,168,3,12,12,11,01,1b0df,711,714,711,714,03,01,01,16,264200
61785000,1213,169,3,13,12,11,01,1b0df,709,717,709,717,03,03,01,17,264192
61795000,1213,170,3,14,12,11,03,1bedf,712,720,712,720,03,03,03,18,262144
61805000,1213,171,3,15,12,11,03,1bedf,728,-728,728,728,03,03,03,19,262144
61815000,1213,172,3,16,12,11,03,1bedf,728,-728,728,728,01,03,03,19,262144
61825000,1214,173,3,17,12,11,03,1bedf,-736,712,736,712,01,01,03,20,262144
61835000,1214,174,3,18,12,11,01,1b0df,-736,712,736,712,02,01,01,21,262144
61855000,1214,175,3,19,12,12,02,1bed8,-728,-728,728,728,02,02,02,23,262144
61865000,1214,176,3,20,12,12,02,1bed8,-736,712,736,712,00,02,02,24,262144
61875000,1215,177,3,21,12,12,02,1bed8,-725,-733,725,733,02,00,02,25,264192
61885000,1215,178,3,22,12,12,00,1b0d8,714,-722,714,722,00,02,00,26,266256
61895000,1215,179,3,23,12,12,02,1bed8,714,-722,714,722,01,00,02,26,262144
61905000,1215,180,3,24,12,12,00,1b0d8,714,-722,714,722,01,01,00,26,262144
61915000,1215,181,3,25,12,12,01,1b0df,714,-722,714,722,01,01,01,26,262144
61995000,1217,182,3,26,12,12,03,1bedf,720,-728,720,728,01,02,03,30,262144
62005000,1217,183,3,27,12,12,02,1bed8,728,-720,728,720,01,01,02,31,262144
62015000,1217,184,3,28,12,12,01,1b0df,-738,714,738,714,01,01,01,32,260096
62025000,1218,185,3,29,12,12,01,1b0df,-733,-741,733,741,02,01,01,33,258064
62035000,1218,186,3,30,12,12,01,1b0df,-733,-741,733,741,00,02,01,33,258064
62045000,1218,187,3,31,12,12,02,1bed8,717,725,717,725,00,00,02,34,258064
62055000,1218,188,3,32,12,12,00,1b0d8,712,-728,712,728,03,00,00,35,262144
62075000,1219,189,3,33,12,12,03,1bedf,704,720,704,720,00,01,03,37,262144
62085000,1219,190,3,34,12,12,01,1b0df,-730,-744,730,744,03,00,01,38,258064
62095000,1219,191,3,35,12,12,00,1b0d8,711,725,711,725,00,03,00,39,260104
62105000,1219,192,3,36,12,12,03,1bedf,-744,708,744,708,03,00,03,40,260112
62115000,1219,193,3,37,12,12,00,1b0d8,-738,701,738,701,02,03,00,41,262144
62125000,1220,194,3,38,12,12,03,1bedf,720,-728,720,728,02,02,03,42,262144
62135000,1220,195,3,39,12,12,02,1bed8,712,720,712,720,01,02,02,43,262144
62145000,1220,196,3,40,12,12,02,1bed8,720,-728,720,728,03,01,02,44,262144
62155000,1220,197,3,41,12,12,01,1b0df,-736,712,736,712,01,03,01,45,262144
62165000,1220,198,3,42,12,12,03,1bedf,728,-720,728,720,02,01,03,46,262144
62175000,1221,199,3,43,12,12,01,1b0df,728,-720,728,720,01,02,01,46,262144
62185000,1221,200,3,44,12,12,02,1bed8,712,720,712,720,01,01,02,47,262144
62195000,1221,201,3,45,12,12,01,1b0df,714,722,714,722,03,01,01,48,260096
62215000,1221,202,3,46,12,12,03,1bedf,-741,717,741,717,00,03,03,50,258064
62225000,1222,203,3,47,12,12,03,1bedf,725,-733,725,733,02,00,03,51,258064
62235000,1222,204,3,48,12,12,00,1b0d8,728,-730,728,730,01,02,00,0,258064
62245000,1222,205,3,49,12,12,02,1bed8,728,-730,728,730,01,01,02,0,258064
62255000,1222,206,3,50,12,12,01,1b0df,728,-730,728,730,01,01,01,0,258064
62265000,1222,207,3,51,12,12,01,1b0df,728,-730,728,730,01,01,01,0,258064
65245000,1282,208,4,0,12,12,02,1bed8,-728,-728,728,728,03,01,02,4,262144
65255000,1282,209,4,1,12,12,01,1b0df,-728,-728,728,728,00,03,01,5,262144
65265000,1282,210,4,2,12,12,03,1bedf,-720,-728,720,728,00,00,03,6,262144
65275000,1283,211,4,3,12,12,00,1b0d8,-720,-728,720,728,00,00,00,6,262144
65285000,1283,212,4,4,12,12,00,1b0d8,720,728,720,728,00,00,00,7,262144
65295000,1283,213,4,5,12,12,00,1b0d8,720,720,720,720,03,00,00,8,262144
65315000,1283,214,4,6,12,12,03,1bedf,-725,717,725,717,00,03,03,10,264192
65325000,1284,215,4,7,12,12,03,1bedf,717,-725,717,725,02,00,03,11,264192
65335000,1284,216,4,8,12,12,00,1b0d8,-730,720,730,720,01,02,00,12,264200
65345000,1284,217,4,9,12,12,02,1bed8,717,-730,717,730,02,01,02,13,262144
65355000,1284,218,4,10,12,12,01,1b0df,712,720,712,720,01,02,01,14,262144
65365000,1284,219,4,11,12,12,02,1bed8,-728,720,728,720,03,01,02,15,262144
65375000,1285,220,4,12,12,12,01,1b0df,714,-727,714,727,02,03,01,16,264200
65385000,1285,221,4,13,12,12,03,1bedf,717,-725,717,725,01,02,03,17,264192
65395000,1285,222,4,14,12,12,02,1bed8,-728,-728,728,728,01,01,02,18,262144
65405000,1285,223,4,15,12,12,01,1b0df,-728,720,728,720,00,01,01,19,262144
65415000,1285,224,4,16,12,12,01,1b0df,-728,720,728,720,02,00,01,19,262144
65425000,1286,225,4,17,12,12,00,1b0d8,-728,-728,728,728,02,02,00,20,262144
65435000,1286,226,4,18,12,12,02,1bed8,-728,720,728,720,00,02,02,21,262144
65455000,1286,227,4,19,12,13,00,1b0d8,-728,-720,728,720,00,02,00,23,262144
65465000,1286,228,4,20,12,13,02,1bed8,720,-728,720,728,00,00,02,24,262144
65475000,1287,229,4,21,12,13,00,1b0d8,-725,-725,725,725,01,00,00,25,264192
65485000,1287,230,4,22,12,13,00,1b0d8,714,-714,714,714,00,01,00,26,266256
65495000,1287,231,4,23,12,13,01,1b0df,714,-714,714,714,01,00,01,26,262144
65505000,1287,232,4,24,12,13,00,1b0d8,714,-714,714,714,01,01,00,26,262144
65515000,1287,233,4,25,12,13,01,1b0df,714,-714,714,714,01,01,01,26,262144
65595000,1289,234,4,26,12,13,02,1bed8,720,720,720,720,02,02,02,30,262144
65605000,1289,235,4,27,12,13,02,1bed8,720,728,720,728,03,02,02,31,262144
